,country_code,total_co2,Country
157,LAO,19360.0006103516,Lao PDR
158,LVA,7789.99996185303,Latvia
159,LBN,27790.0009155273,Lebanon
160,LSO,730.000019073486,Lesotho
161,LBR,1129.99999523163,Liberia
162,LBY,56619.9989318848,Libya
163,LIE,140.000000596046,Liechtenstein
164,LTU,11649.9996185303,Lithuania
165,LUX,9319.99969482422,Luxembourg
166,MAC,,"Macao SAR, China"
167,MDG,3349.99990463257,Madagascar
168,MWI,1379.99999523163,Malawi
169,MYS,244410.003662109,Malaysia
170,MDV,2099.99990463257,Maldives
171,MLI,5469.99979019165,Mali
172,MLT,1549.99995231628,Malta
173,MHL,180.000007152557,Marshall Islands
174,MRT,3690.00005722046,Mauritania
175,MUS,4130.00011444092,Mauritius
176,MEX,452570.007324219,Mexico
177,FSM,170.000001788139,"Micronesia, Fed. Sts."
178,MDA,8539.99996185303,Moldova
179,MCO,,Monaco
180,MNG,21549.9992370605,Mongolia
181,MNE,2500.0,Montenegro
182,MAR,64959.9990844727,Morocco
183,MOZ,6949.99980926514,Mozambique
184,MMR,32939.998626709,Myanmar
185,NAM,4230.00001907349,Namibia
186,NRU,59.9999986588955,Nauru
187,NPL,15189.9995803833,Nepal
188,NLD,151360.000610352,Netherlands
189,NCL,,New Caledonia
190,NZL,32360.0006103516,New Zealand
191,NIC,5110.0001335144,Nicaragua
192,NER,1950.00004768372,Niger
193,NGA,109889.999389648,Nigeria
194,MKD,7300.00019073486,North Macedonia
195,MNP,,Northern Mariana Islands
196,NOR,37590.0001525879,Norway
197,OMN,75599.9984741211,Oman
198,PAK,187309.997558594,Pakistan
199,PLW,250.0,Palau
200,PAN,10060.0004196167,Panama
201,PNG,7559.99994277954,Papua New Guinea
202,PRY,8470.00026702881,Paraguay
203,PER,54590.0001525879,Peru
204,PHL,138570.007324219,Philippines
205,POL,311910.003662109,Poland
206,PRT,49500.0,Portugal
207,PRI,,Puerto Rico
208,QAT,86419.9981689453,Qatar
209,ROU,75190.0024414063,Romania
210,RUS,1661000.0,Russian Federation
211,RWA,1289.99996185303,Rwanda
212,WSM,289.99999165535,Samoa
213,SMR,,San Marino
214,STP,140.000000596046,São Tomé and Principe
215,SAU,521260.009765625,Saudi Arabia
216,SEN,10180.0003051758,Senegal
217,SRB,46130.0010681152,Serbia
218,SYC,579.999983310699,Seychelles
219,SLE,860.000014305115,Sierra Leone
220,SGP,47400.0015258789,Singapore
221,SXM,,Sint Maarten (Dutch part)
222,SVK,33000.0,Slovak Republic
223,SVN,14069.9996948242,Slovenia
224,SLB,360.000014305115,Solomon Islands
225,SOM,660.000026226044,Somalia
226,ZAF,434350.006103516,South Africa
227,SSD,1549.99995231628,South Sudan
228,ESP,257040.008544922,Spain
229,LKA,21690.0005340576,Sri Lanka
230,KNA,250.0,St. Kitts and Nevis
231,LCA,529.999971389771,St. Lucia
232,MAF,,St. Martin (French part)
233,VCT,250.0,St. Vincent and the Grenadines
234,SDN,20860.0006103516,Sudan
235,SUR,2210.00003814697,Suriname
236,SWE,36009.9983215332,Sweden
237,CHE,37479.9995422363,Switzerland
238,SYR,27389.9993896484,Syrian Arab Republic
239,TJK,8680.00030517578,Tajikistan
240,TZA,12000.0,Tanzania
241,THA,257049.987792969,Thailand
242,TLS,610.000014305115,Timor-Leste
243,TGO,2309.99994277954,Togo
244,TON,159.999996423721,Tonga
245,TTO,17780.0006866455,Trinidad and Tobago
246,TUN,29889.9993896484,Tunisia
247,TUR,411730.010986328,Türkiye
248,TKM,73050.0030517578,Turkmenistan
249,TCA,,Turks and Caicos Islands
250,TUV,9.99999977648258,Tuvalu
251,UGA,5860.0001335144,Uganda
252,UKR,185619.995117188,Ukraine
253,ARE,177119.995117188,United Arab Emirates
254,GBR,360730.010986328,United Kingdom
255,USA,4975310.05859375,United States
256,URY,6539.99996185303,Uruguay
257,UZB,112470.001220703,Uzbekistan
258,VUT,209.999993443489,Vanuatu
259,VEN,132130.004882813,"Venezuela, RB"
260,VNM,285600.006103516,Vietnam
261,VIR,,Virgin Islands (U.S.)
262,PSE,,West Bank and Gaza
263,YEM,9720.00026702881,"Yemen, Rep."
264,ZMB,7730.00001907349,Zambia
265,ZWE,12380.0001144409,Zimbabwe
