,country_code,gdp_per_capita,Country
152,PRK,,"Korea, Dem. People's Rep."
153,KOR,33436.9230646064,"Korea, Rep."
154,XKX,4384.0488917319,Kosovo
155,KWT,33399.060475851,Kuwait
156,KGZ,1308.14016549619,Kyrgyz Republic
157,LAO,2569.09389217251,Lao PDR
158,LVA,17865.0310947642,Latvia
159,LBN,8003.82761247354,Lebanon
160,LSO,1192.4843195181,Lesotho
161,LBR,710.265998419581,Liberia
162,LBY,11482.1336356202,Libya
163,LIE,176499.402554134,Liechtenstein
164,LTU,19186.1812814178,Lithuania
165,LUX,117254.740352682,Luxembourg
166,MAC,87526.0799912635,"Macao SAR, China"
167,MDG,518.401122965872,Madagascar
168,MWI,544.593459253286,Malawi
169,MYS,11380.079220974,Malaysia
170,MDV,10279.0799751619,Maldives
171,MLI,894.804843529365,Mali
172,MLT,31573.1165594518,Malta
173,MHL,3793.55098267479,Marshall Islands
174,MRT,1669.77347632717,Mauritania
175,MUS,11208.3438184474,Mauritius
176,MEX,9686.98492655586,Mexico
177,FSM,3568.291015625,"Micronesia, Fed. Sts."
178,MDA,4230.62696856829,Moldova
179,MCO,185978.609251356,Monaco
180,MNG,4156.8469697802,Mongolia
181,MNE,8850.37840418667,Montenegro
182,MAR,3226.98291015625,Morocco
183,MOZ,503.302009186097,Mozambique
184,MMR,1250.17368502539,Myanmar
185,NAM,5588.39286411942,Namibia
186,NRU,11614.665076832,Nauru
187,NPL,1178.52595698425,Nepal
188,NLD,53044.5324352253,Netherlands
189,NCL,36382.4955335221,New Caledonia
190,NZL,43250.440973659,New Zealand
191,NIC,2014.57518879047,Nicaragua
192,NER,570.723921953592,Niger
193,NGA,2027.77854863842,Nigeria
194,MKD,6108.74010831698,North Macedonia
195,MNP,22886.6740494647,Northern Mariana Islands
196,NOR,82267.809316159,Norway
197,OMN,18947.3664959773,Oman
198,PAK,1678.04315020006,Pakistan
199,PLW,15895.2598961532,Palau
200,PAN,15544.9990758626,Panama
201,PNG,2801.37139302915,Papua New Guinea
202,PRY,5782.78454981286,Paraguay
203,PER,6958.49726229132,Peru
204,PHL,3252.11027410706,Philippines
205,POL,15468.4822194105,Poland
206,PRT,23562.5545228191,Portugal
207,PRI,31604.7015144578,Puerto Rico
208,QAT,65907.9484330735,Qatar
209,ROU,12398.9819787666,Romania
210,RUS,11287.3603515625,Russian Federation
211,RWA,783.812790116076,Rwanda
212,WSM,4187.50478719379,Samoa
213,SMR,48996.5929877,San Marino
214,STP,1953.5132573676,São Tomé and Principe
215,SAU,24228.8390391665,Saudi Arabia
216,SEN,1458.08158374002,Senegal
217,SRB,7252.40185773992,Serbia
218,SYC,16910.6679212598,Seychelles
219,SLE,533.991533265984,Sierra Leone
220,SGP,66859.3383447804,Singapore
221,SXM,28988.2592085877,Sint Maarten (Dutch part)
222,SVK,19389.9821594449,Slovak Republic
223,SVN,26116.8563558793,Slovenia
224,SLB,2411.89790433612,Solomon Islands
225,SOM,389.83139549816,Somalia
226,ZAF,7005.09541266022,South Africa
227,SSD,,South Sudan
228,ESP,30364.5799435622,Spain
229,LKA,4059.20822984654,Sri Lanka
230,KNA,20567.2582647868,St. Kitts and Nevis
231,LCA,11353.7152287809,St. Lucia
232,MAF,,St. Martin (French part)
233,VCT,8024.02849584369,St. Vincent and the Grenadines
234,SDN,773.507080078125,Sudan
235,SUR,6938.08698147294,Suriname
236,SWE,54589.0603860606,Sweden
237,CHE,86388.4049527184,Switzerland
238,SYR,1265.60619039693,Syrian Arab Republic
239,TJK,853.218873401321,Tajikistan
240,TZA,1042.83874511719,Tanzania
241,THA,7298.94714621349,Thailand
242,TLS,1249.13835051953,Timor-Leste
243,TGO,901.523016898937,Togo
244,TON,4740.70027224476,Tonga
245,TTO,17139.185674458,Trinidad and Tobago
246,TUN,3690.89693189538,Tunisia
247,TUR,9454.34844272271,Türkiye
248,TKM,6967.37504258806,Turkmenistan
249,TCA,29553.1366979053,Turks and Caicos Islands
250,TUV,4156.30512786743,Tuvalu
251,UGA,770.600784343292,Uganda
252,UKR,3096.56176757813,Ukraine
253,ARE,43839.3244857234,United Arab Emirates
254,GBR,43646.9519711493,United Kingdom
255,USA,62805.2537579917,United States
256,URY,18703.8602924478,Uruguay
257,UZB,1597.0683366109,Uzbekistan
258,VUT,3125.43601411444,Vanuatu
259,VEN,,"Venezuela, RB"
260,VNM,3230.92771257461,Vietnam
261,VIR,36653.8630480089,Virgin Islands (U.S.)
262,PSE,3562.33094270256,West Bank and Gaza
263,YEM,758.145948927092,"Yemen, Rep."
264,ZMB,1516.36837125728,Zambia
265,ZWE,1254.64226494434,Zimbabwe
