,country_code,gdp_per_capita,total_co2,co2_per_cap,population,country_x,country_y,standardized
56,AZE,4739.84171,32729.99954,3.292832354,9939771,Azerbaijan,Azerbaijan,Azerbaijan
57,BHS,33077.39183,2799.999952,7.260751623,385635,"Bahamas, The","Bahamas, The",Bahamas
58,BHR,24086.30169,30809.99947,19.63120569,1569440,Bahrain,Bahrain,Bahrain
59,BGD,1991.483267,83449.99695,0.517113005,161376713,Bangladesh,Bangladesh,Bangladesh
60,BRB,17782.87473,1240.00001,4.325983846,286640,Barbados,Barbados,Barbados
61,BLR,6360.062473,58950.00076,6.245507315,9438785,Belarus,Belarus,Belarus
62,BEL,47549.20805,93660.00366,8.196338589,11427054,Belgium,Belgium,Belgium
63,BLZ,4927.194224,629.9999952,1.644603729,383071,Belize,Belize,Belize
64,BEN,1241.825298,7420.000076,0.646058116,11485035,Benin,Benin,Benin
65,BMU,113050.7369,,,63918,Bermuda,Bermuda,Bermuda
66,BTN,3243.477437,1049.999952,1.391841887,754396,Bhutan,Bhutan,Bhutan
67,BOL,3548.59078,23229.99954,2.046129929,11353140,Bolivia,Bolivia,Bolivia
68,BIH,6070.35298,22600.00038,6.799182648,3323929,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina
69,BWA,7503.878588,7309.999943,3.243026912,2254067,Botswana,Botswana,Botswana
70,BRA,9151.381732,433989.9902,2.071854677,209469320,Brazil,Brazil,Brazil
71,VGB,,,,29795,British Virgin Islands,British Virgin Islands,British Virgin Islands
72,BRN,31628.47626,7539.999962,17.5773964,428960,Brunei Darussalam,Brunei Darussalam,Brunei Darussalam
73,BGR,9446.700772,40900.00153,5.82203361,7025037,Bulgaria,Bulgaria,Bulgaria
74,BFA,804.5005378,4670.000076,0.23643815,19751466,Burkina Faso,Burkina Faso,Burkina Faso
75,BDI,238.0343096,689.9999976,0.061742872,11175379,Burundi,Burundi,Burundi
76,CPV,3616.460666,610.0000143,1.121810223,543764,Cabo Verde,Cabo Verde,Cabo Verde
77,KHM,1512.126989,14579.99992,0.897242084,16249795,Cambodia,Cambodia,Cambodia
78,CMR,1585.240534,9590.000153,0.380310156,25216261,Cameroon,Cameroon,Cameroon
79,CAN,46548.63841,580090.0269,15.65057904,37065084,Canada,Canada,Canada
80,CYM,86180.53969,,,64172,Cayman Islands,Cayman Islands,Cayman Islands
81,CAF,475.9538139,230.0000042,0.049288796,4666375,Central African Republic,Central African Republic,Central African Republic
82,TCD,726.1510071,2190.000057,0.141493648,15477727,Chad,Chad,Chad
83,CHI,,,,170496,Channel Islands,Channel Islands,Channel Islands
84,CHL,15772.33348,86610.00061,4.624338351,18729166,Chile,Chile,Chile
85,CHN,9905.342004,10502929.69,7.487331894,1402760000,China,China,China
86,COL,6729.583332,78589.99634,1.582527692,49661056,Colombia,Colombia,Colombia
87,COM,1428.290463,300.0000119,0.360437441,832322,Comoros,Comoros,Comoros
88,COD,565.8295429,3119.999886,0.037112771,84068092,"Congo, Dem. Rep.","Congo, Dem. Rep.","Congo, Dem. Rep."
89,COG,2606.615526,6489.999771,1.237519175,5244363,"Congo, Rep.","Congo, Rep.","Congo, Rep."
90,CRI,12485.4239,8369.999886,1.674186481,4999443,Costa Rica,Costa Rica,Costa Rica
91,CIV,2314.050958,10189.99958,0.406474439,25069226,Ivory Coast,Ivory Coast,Ivory Coast
92,HRV,15227.5601,16430.00031,4.019234669,4087843,Croatia,Croatia,Croatia
93,CUB,8824.194008,26709.99908,2.355764257,11338146,Cuba,Cuba,Cuba
94,CUW,18956.09791,,,159336,Curaçao,Curaçao,Curaçao
95,CYP,29334.11133,7199.999809,6.054174614,1189262,Cyprus,Cyprus,Cyprus
96,CZE,23419.73561,100900.0015,9.492068199,10629928,Czech Republic,Czech Republic,Czech Republic (the)
97,DNK,61591.92887,33130.00107,5.718343553,5793636,Denmark,Denmark,Denmark
98,DJI,3038.269738,400.000006,0.417134646,958923,Djibouti,Djibouti,Djibouti
99,DMA,7745.376963,170.0000018,2.373439837,71626,Dominica,Dominica,Dominica
100,DOM,8050.644076,25309.99947,2.381636338,10627147,Dominican Republic,Dominican Republic,Dominican Republic
101,ECU,6295.934662,40139.99939,2.349517438,17084359,Ecuador,Ecuador,Ecuador
102,EGY,2537.125185,247910.0037,2.518806451,98423602,"Egypt, Arab Rep.","Egypt, Arab Rep.","Egypt, Arab Rep."
